inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
San Diego Christian College,CA,Santee,San Diego County,178.0,207.0,385.0,9.0
Church Divinity School of the Pacific,CA,Berkeley,Alameda County,,,,
Citrus College,CA,Glendora,Los Angeles County,1593.0,1980.0,3573.0,17.0
Citrus Heights Beauty College,CA,Citrus Heights,Sacramento County,,,,
City College of San Francisco,CA,San Francisco,San Francisco County,2699.0,2563.0,5262.0,17.0
Claremont Graduate University,CA,Claremont,Los Angeles County,,,,
Claremont McKenna College,CA,Claremont,Los Angeles County,693.0,716.0,1409.0,6.0
Milan Institute-Visalia,CA,Visalia,Tulare County,,,,
Clovis Adult Education,CA,Clovis,Fresno County,,,,
Coast Community College District Office,CA,Costa Mesa,Orange County,,,,
Coastline Community College,CA,Fountain Valley,Orange County,,,,
University of Silicon Valley,CA,San Jose,Santa Clara County,,,,
Coba Academy,CA,Anaheim,Orange County,,,,
Western University of Health Sciences,CA,Pomona,Los Angeles County,,,,
Columbia College,CA,Sonora,Tuolumne County,207.0,277.0,484.0,17.0
Columbia College Hollywood,CA,Tarzana,Los Angeles County,,,,
Compton College,CA,Compton,Los Angeles County,300.0,435.0,735.0,17.0
Contra Costa Community College District Office,CA,Martinez,Contra Costa County,,,,
Contra Costa College,CA,San Pablo,Contra Costa County,577.0,736.0,1313.0,17.0
Cosumnes River College,CA,Sacramento,Sacramento County,1338.0,1583.0,2921.0,17.0
Crafton Hills College,CA,Yucaipa,San Bernardino County,660.0,804.0,1464.0,17.0
Cuesta College,CA,San Luis Obispo,San Luis Obispo County,1238.0,1339.0,2577.0,17.0
Cuyamaca College,CA,El Cajon,San Diego County,620.0,722.0,1342.0,17.0
Cypress College,CA,Cypress,Orange County,1951.0,2556.0,4507.0,17.0
De Anza College,CA,Cupertino,Santa Clara County,4245.0,3676.0,7921.0,17.0
International School of Beauty Inc,CA,Palm Desert,Riverside County,,,,
Dell'Arte International School of Physical Theatre,CA,Blue Lake,Humboldt County,,,,
College of the Desert,CA,Palm Desert,Riverside County,1523.0,2082.0,3605.0,17.0
Design Institute of San Diego,CA,San Diego,San Diego County,,,,
Diablo Valley College,CA,Pleasant Hill,Contra Costa County,2975.0,2882.0,5857.0,17.0
Dominican University of California,CA,San Rafael,Marin County,346.0,787.0,1133.0,5.0
Dominican School of Philosophy & Theology,CA,Berkeley,Alameda County,,,,
East Los Angeles College,CA,Monterey Park,Los Angeles County,2129.0,2772.0,4901.0,17.0
El Camino Community College District,CA,Torrance,Los Angeles County,2867.0,3132.0,5999.0,17.0
